system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
00000000000000000118,"{type=[[0.0, 1190.6235294117648]]}","{type=[[0.0, 1190.6235294117648]]}","{type=[[0.0, 1190.6235294117648]]}","{type=[[0.0, 1190.6235294117648]]}","{type=[[0.0, 1190.6235294117648]]}","{type=[[0.0, 1190.6235294117648]]}",534078021,"{type=[[0.0, 1190.6235294117648]]}","{type=[[0.0, 1190.6235294117648]]}","{type=[[0.0, 1190.6235294117648]]}",
00000000000000000119,"{type=[[0.0, 1212.0196078431363]]}","{type=[[0.0, 1212.0196078431363]]}","{type=[[0.0, 1212.0196078431363]]}","{type=[[0.0, 1212.0196078431363]]}","{type=[[0.0, 1212.0196078431363]]}","{type=[[0.0, 1212.0196078431363]]}",535869324,"{type=[[0.0, 1212.0196078431363]]}","{type=[[0.0, 1212.0196078431363]]}","{type=[[0.0, 1212.0196078431363]]}",
0000000000000000011a,"{type=[[0.0, 1212.678431372549]]}","{type=[[0.0, 1212.678431372549]]}","{type=[[0.0, 1212.678431372549]]}","{type=[[0.0, 1212.678431372549]]}","{type=[[0.0, 1212.678431372549]]}","{type=[[0.0, 1212.678431372549]]}",535810278,"{type=[[0.0, 1212.678431372549]]}","{type=[[0.0, 1212.678431372549]]}","{type=[[0.0, 1212.678431372549]]}",
0000000000000000011b,"{type=[[0.0, 1203.7843137254883]]}","{type=[[0.0, 1203.7843137254883]]}","{type=[[0.0, 1203.7843137254883]]}","{type=[[0.0, 1203.7843137254883]]}","{type=[[0.0, 1203.7843137254883]]}","{type=[[0.0, 1203.7843137254883]]}",535633117,"{type=[[0.0, 1203.7843137254883]]}","{type=[[0.0, 1203.7843137254883]]}","{type=[[0.0, 1203.7843137254883]]}",
0000000000000000011c,"{type=[[0.0, 1199.415686274509]]}","{type=[[0.0, 1199.415686274509]]}","{type=[[0.0, 1199.415686274509]]}","{type=[[0.0, 1199.415686274509]]}","{type=[[0.0, 1199.415686274509]]}","{type=[[0.0, 1199.415686274509]]}",535121332,"{type=[[0.0, 1199.415686274509]]}","{type=[[0.0, 1199.415686274509]]}","{type=[[0.0, 1199.415686274509]]}",
0000000000000000011d,"{type=[[0.0, 1198.5098039215666]]}","{type=[[0.0, 1198.5098039215666]]}","{type=[[0.0, 1198.5098039215666]]}","{type=[[0.0, 1198.5098039215666]]}","{type=[[0.0, 1198.5098039215666]]}","{type=[[0.0, 1198.5098039215666]]}",535003226,"{type=[[0.0, 1198.5098039215666]]}","{type=[[0.0, 1198.5098039215666]]}","{type=[[0.0, 1198.5098039215666]]}",
0000000000000000011e,"{type=[[0.0, 1169.815686274509]]}","{type=[[0.0, 1169.815686274509]]}","{type=[[0.0, 1169.815686274509]]}","{type=[[0.0, 1169.815686274509]]}","{type=[[0.0, 1169.815686274509]]}","{type=[[0.0, 1169.815686274509]]}",533579440,"{type=[[0.0, 1169.815686274509]]}","{type=[[0.0, 1169.815686274509]]}","{type=[[0.0, 1169.815686274509]]}",
0000000000000000011f,"{type=[[0.0, 1167.5411764705884]]}","{type=[[0.0, 1167.5411764705884]]}","{type=[[0.0, 1167.5411764705884]]}","{type=[[0.0, 1142.290196078432], [1.0, 25.250980392156862]]}","{type=[[0.0, 1142.290196078432], [1.0, 25.250980392156862]]}","{type=[[0.0, 1142.290196078432], [1.0, 25.250980392156862]]}",533553195,"{type=[[0.0, 1167.5411764705884]]}","{type=[[0.0, 1167.5411764705884]]}","{type=[[0.0, 1167.5411764705884]]}",
00000000000000000120,"{type=[[0.0, 1187.1843137254907], [1.0, 0.00784313725490196]]}","{type=[[0.0, 1187.1843137254907], [1.0, 0.00784313725490196]]}","{type=[[0.0, 1187.192156862744]]}","{type=[[0.0, 1181.2941176470579], [1.0, 5.898039215686275]]}","{type=[[0.0, 1181.3019607843125], [1.0, 5.890196078431373]]}","{type=[[0.0, 1181.3019607843125], [1.0, 5.890196078431373]]}",534281500,"{type=[[0.0, 1187.192156862744]]}","{type=[[0.0, 1187.192156862744]]}","{type=[[0.0, 1187.192156862744]]}",
00000000000000000121,"{type=[[0.0, 1198.5725490196075]]}","{type=[[0.0, 1198.5725490196075]]}","{type=[[0.0, 1198.5725490196075]]}","{type=[[0.0, 1198.5725490196075]]}","{type=[[0.0, 1198.5725490196075]]}","{type=[[0.0, 1198.5725490196075]]}",534648873,"{type=[[0.0, 1198.5725490196075]]}","{type=[[0.0, 1198.5725490196075]]}","{type=[[0.0, 1198.5725490196075]]}",
00000000000000000122,"{type=[[0.0, 1190.9999999999998]]}","{type=[[0.0, 1190.9999999999998]]}","{type=[[0.0, 1190.9999999999998]]}","{type=[[0.0, 1190.9999999999998]]}","{type=[[0.0, 1190.9999999999998]]}","{type=[[0.0, 1190.9999999999998]]}",534005862,"{type=[[0.0, 1190.9999999999998]]}","{type=[[0.0, 1190.9999999999998]]}","{type=[[0.0, 1190.9999999999998]]}",
