system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
000000000000000001bf,"{type=[[0.0, 926.1686274509804], [1.0, 2.0]]}","{type=[[0.0, 915.4666666666666], [1.0, 12.701960784313727]]}","{type=[[0.0, 917.4666666666666], [1.0, 10.701960784313727]]}","{type=[[0.0, 39.35294117647058], [1.0, 888.8156862745096]]}","{type=[[0.0, 41.35294117647058], [1.0, 886.8156862745096]]}","{type=[[0.0, 52.05490196078431], [1.0, 876.113725490196]]}",520647531,"{type=[[0.0, 928.1686274509802]]}","{type=[[0.0, 928.1686274509802]]}","{type=[[0.0, 928.1686274509802]]}",
000000000000000001c0,"{type=[[0.0, 925.4745098039214]]}","{type=[[0.0, 925.4745098039214]]}","{type=[[0.0, 925.4745098039214]]}","{type=[[0.0, 126.52549019607844], [1.0, 798.9490196078431]]}","{type=[[0.0, 126.52549019607844], [1.0, 798.9490196078431]]}","{type=[[0.0, 126.52549019607844], [1.0, 798.9490196078431]]}",520654103,"{type=[[0.0, 925.4745098039214]]}","{type=[[0.0, 925.4745098039214]]}","{type=[[0.0, 925.4745098039214]]}",
000000000000000001c2,"{type=[[0.0, 919.2666666666664]]}","{type=[[0.0, 919.2666666666664]]}","{type=[[0.0, 924.4392156862743]]}","{type=[[0.0, 247.25098039215692], [1.0, 672.01568627451]]}","{type=[[0.0, 252.40784313725499], [1.0, 672.0313725490198]]}","{type=[[0.0, 252.40784313725499], [1.0, 672.0313725490198]]}",520450745,"{type=[[0.0, 919.2666666666664]]}","{type=[[0.0, 919.2666666666664]]}","{type=[[0.0, 924.4392156862743]]}",
000000000000000001c3,"{type=[[0.0, 224.45490196078433]]}","{type=[[0.0, 222.4549019607843], [1.0, 2.0]]}","{type=[[0.0, 916.027450980392], [1.0, 7.0]]}","{type=[[0.0, 92.29803921568627], [1.0, 132.15686274509804]]}","{type=[[0.0, 184.89411764705886], [1.0, 738.1333333333332]]}","{type=[[0.0, 191.89411764705886], [1.0, 731.1333333333332]]}",520601684,"{type=[[0.0, 224.45490196078433]]}","{type=[[0.0, 224.45490196078433]]}","{type=[[0.0, 923.027450980392]]}",
0000000000000000000b,"{type=[[0.0, 926.5607843137257]]}","{type=[[0.0, 925.5607843137257], [1.0, 1.0]]}","{type=[[0.0, 925.5607843137257], [1.0, 1.0]]}","{type=[[0.0, 160.77647058823527], [1.0, 765.7843137254904]]}","{type=[[0.0, 160.77647058823527], [1.0, 765.7843137254904]]}","{type=[[0.0, 161.77647058823524], [1.0, 764.7843137254904]]}",520299758,"{type=[[0.0, 926.5607843137257]]}","{type=[[0.0, 926.5607843137257]]}","{type=[[0.0, 926.5607843137257]]}",
0000000000000000000c,"{type=[[0.0, 921.560784313726], [1.0, 5.0]]}","{type=[[0.0, 916.560784313726], [1.0, 10.0]]}","{type=[[0.0, 921.560784313726], [1.0, 5.0]]}","{type=[[0.0, 152.1686274509804], [1.0, 774.3921568627455]]}","{type=[[0.0, 157.16862745098038], [1.0, 769.3921568627455]]}","{type=[[0.0, 162.16862745098038], [1.0, 764.3921568627455]]}",520444113,"{type=[[0.0, 926.560784313726]]}","{type=[[0.0, 926.560784313726]]}","{type=[[0.0, 926.560784313726]]}",
0000000000000000000d,"{type=[[0.0, 923.8392156862748]]}","{type=[[0.0, 923.8392156862748]]}","{type=[[0.0, 923.8392156862748]]}","{type=[[0.0, 4.419607843137255], [1.0, 919.4196078431377]]}","{type=[[0.0, 4.419607843137255], [1.0, 919.4196078431377]]}","{type=[[0.0, 4.419607843137255], [1.0, 919.4196078431377]]}",520358818,"{type=[[0.0, 923.8392156862748]]}","{type=[[0.0, 923.8392156862748]]}","{type=[[0.0, 923.8392156862748]]}",
0000000000000000000e,"{type=[[0.0, 929.0980392156858]]}","{type=[[0.0, 929.0980392156858]]}","{type=[[0.0, 929.0980392156858]]}","{type=[[0.0, 41.639215686274504], [1.0, 887.4588235294113]]}","{type=[[0.0, 41.639215686274504], [1.0, 887.4588235294113]]}","{type=[[0.0, 41.639215686274504], [1.0, 887.4588235294113]]}",520627845,"{type=[[0.0, 929.0980392156858]]}","{type=[[0.0, 929.0980392156858]]}","{type=[[0.0, 929.0980392156858]]}",
0000000000000000000f,"{type=[[0.0, 928.7058823529409], [1.0, 2.0]]}","{type=[[0.0, 928.7058823529409], [1.0, 2.0]]}","{type=[[0.0, 930.7058823529409]]}","{type=[[0.0, 235.5058823529412], [1.0, 695.1999999999999]]}","{type=[[0.0, 237.5058823529412], [1.0, 693.1999999999999]]}","{type=[[0.0, 237.5058823529412], [1.0, 693.1999999999999]]}",520745941,"{type=[[0.0, 930.7058823529409]]}","{type=[[0.0, 930.7058823529409]]}","{type=[[0.0, 930.7058823529409]]}",
00000000000000000010,"{type=[[0.0, 924.1333333333336], [1.0, 6.0]]}","{type=[[0.0, 924.1333333333336], [1.0, 6.0]]}","{type=[[0.0, 930.1333333333336]]}","{type=[[0.0, 71.37647058823529], [1.0, 858.756862745098]]}","{type=[[0.0, 77.37647058823529], [1.0, 852.756862745098]]}","{type=[[0.0, 77.37647058823529], [1.0, 852.756862745098]]}",520699974,"{type=[[0.0, 930.1333333333336]]}","{type=[[0.0, 930.1333333333336]]}","{type=[[0.0, 930.1333333333336]]}",
