system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
0000000000000000021c,"{type=[[0.0, 962.3490196078432]]}","{type=[[0.0, 962.3490196078432]]}","{type=[[0.0, 962.3490196078432]]}","{type=[[0.0, 962.3490196078432]]}","{type=[[0.0, 962.3490196078432]]}","{type=[[0.0, 962.3490196078432]]}",522687900,"{type=[[0.0, 962.3490196078432]]}","{type=[[0.0, 962.3490196078432]]}","{type=[[0.0, 962.3490196078432]]}",
0000000000000000021d,"{type=[[0.0, 968.9294117647061]]}","{type=[[0.0, 968.9294117647061]]}","{type=[[0.0, 968.9294117647061]]}","{type=[[0.0, 349.68235294117653], [1.0, 619.2470588235294]]}","{type=[[0.0, 349.68235294117653], [1.0, 619.2470588235294]]}","{type=[[0.0, 349.68235294117653], [1.0, 619.2470588235294]]}",522838796,"{type=[[0.0, 968.9294117647061]]}","{type=[[0.0, 968.9294117647061]]}","{type=[[0.0, 968.9294117647061]]}",
0000000000000000021e,"{type=[[0.0, 950.3176470588238], [1.0, 14.12156862745098]]}","{type=[[0.0, 885.9490196078434], [1.0, 78.49019607843137]]}","{type=[[0.0, 900.0705882352944], [1.0, 64.36862745098038]]}","{type=[[0.0, 94.27450980392156], [1.0, 870.1647058823529]]}","{type=[[0.0, 108.39607843137254], [1.0, 856.0431372549018]]}","{type=[[0.0, 172.76470588235296], [1.0, 791.6745098039214]]}",522582896,"{type=[[0.0, 964.4392156862748]]}","{type=[[0.0, 964.4392156862748]]}","{type=[[0.0, 964.4392156862748]]}",
0000000000000000021f,"{type=[[0.0, 962.7882352941174]]}","{type=[[0.0, 959.3647058823526], [1.0, 3.4235294117647057]]}","{type=[[0.0, 959.3647058823526], [1.0, 3.4235294117647057]]}","{type=[[0.0, 767.1294117647059], [1.0, 195.65882352941176]]}","{type=[[0.0, 767.1294117647059], [1.0, 195.65882352941176]]}","{type=[[0.0, 770.5529411764704], [1.0, 192.23529411764704]]}",522313908,"{type=[[0.0, 962.7882352941174]]}","{type=[[0.0, 962.7882352941174]]}","{type=[[0.0, 962.7882352941174]]}",
00000000000000000220,"{type=[[0.0, 963.3333333333334], [1.0, 2.0]]}","{type=[[0.0, 963.3333333333334], [1.0, 2.0]]}","{type=[[0.0, 965.3333333333336]]}","{type=[[0.0, 414.71764705882345], [1.0, 550.6156862745099]]}","{type=[[0.0, 416.71764705882345], [1.0, 548.6156862745099]]}","{type=[[0.0, 416.71764705882345], [1.0, 548.6156862745099]]}",522510718,"{type=[[0.0, 965.3333333333336]]}","{type=[[0.0, 965.3333333333336]]}","{type=[[0.0, 965.3333333333336]]}",
00000000000000000221,"{type=[[0.0, 937.9254901960788], [1.0, 21.16470588235294]]}","{type=[[0.0, 937.9254901960788], [1.0, 21.16470588235294]]}","{type=[[0.0, 959.0901960784317]]}","{type=[[0.0, 585.6235294117647], [1.0, 373.46666666666647]]}","{type=[[0.0, 603.7647058823529], [1.0, 355.3254901960782]]}","{type=[[0.0, 603.7647058823529], [1.0, 355.3254901960782]]}",522340099,"{type=[[0.0, 956.066666666667], [1.0, 3.023529411764706]]}","{type=[[0.0, 956.066666666667], [1.0, 3.023529411764706]]}","{type=[[0.0, 959.0901960784317]]}",
00000000000000000222,"{type=[[0.0, 943.525490196079], [1.0, 21.0]]}","{type=[[0.0, 943.525490196079], [1.0, 21.0]]}","{type=[[0.0, 964.525490196079]]}","{type=[[0.0, 470.3137254901962], [1.0, 494.2117647058822]]}","{type=[[0.0, 480.3137254901962], [1.0, 484.2117647058822]]}","{type=[[0.0, 477.3137254901962], [1.0, 487.2117647058822]]}",522425399,"{type=[[0.0, 953.525490196079], [1.0, 11.0]]}","{type=[[0.0, 950.525490196079], [1.0, 14.0]]}","{type=[[0.0, 961.525490196079], [1.0, 3.0]]}",
00000000000000000223,"{type=[[0.0, 956.9254901960785], [1.0, 2.0]]}","{type=[[0.0, 956.9254901960785], [1.0, 2.0]]}","{type=[[0.0, 958.9254901960784]]}","{type=[[0.0, 956.9254901960785], [1.0, 2.0]]}","{type=[[0.0, 950.3921568627451], [1.0, 8.533333333333333]]}","{type=[[0.0, 950.3921568627451], [1.0, 8.533333333333333]]}",522366336,"{type=[[0.0, 950.3921568627451], [1.0, 8.533333333333333]]}","{type=[[0.0, 950.3921568627451], [1.0, 8.533333333333333]]}","{type=[[0.0, 958.9254901960784]]}",
00000000000000000224,"{type=[[0.0, 959.0039215686273], [1.0, 3.0]]}","{type=[[0.0, 959.0039215686273], [1.0, 3.0]]}","{type=[[0.0, 962.0039215686273]]}","{type=[[0.0, 372.1176470588234], [1.0, 589.8862745098038]]}","{type=[[0.0, 375.1176470588234], [1.0, 586.8862745098038]]}","{type=[[0.0, 375.1176470588234], [1.0, 586.8862745098038]]}",522267913,"{type=[[0.0, 962.0039215686273]]}","{type=[[0.0, 962.0039215686273]]}","{type=[[0.0, 962.0039215686273]]}",
00000000000000000225,"{type=[[0.0, 906.9647058823529], [1.0, 46.12549019607844]]}","{type=[[0.0, 906.9647058823529], [1.0, 46.12549019607844]]}","{type=[[0.0, 953.0901960784313]]}","{type=[[0.0, 658.976470588235], [1.0, 294.11372549019603]]}","{type=[[0.0, 705.1019607843135], [1.0, 247.9882352941176]]}","{type=[[0.0, 705.1019607843135], [1.0, 247.9882352941176]]}",521933315,"{type=[[0.0, 953.0901960784313]]}","{type=[[0.0, 953.0901960784313]]}","{type=[[0.0, 953.0901960784313]]}",
00000000000000000226,"{type=[[0.0, 954.0941176470587]]}","{type=[[0.0, 954.0941176470587]]}","{type=[[0.0, 952.0941176470587], [1.0, 2.0]]}","{type=[[0.0, 921.5411764705882], [1.0, 32.55294117647059]]}","{type=[[0.0, 903.956862745098], [1.0, 50.13725490196078]]}","{type=[[0.0, 905.956862745098], [1.0, 48.13725490196078]]}",521887382,"{type=[[0.0, 936.5098039215686], [1.0, 17.584313725490198]]}","{type=[[0.0, 938.5098039215686], [1.0, 15.584313725490196]]}","{type=[[0.0, 954.0941176470587]]}",
00000000000000000227,"{type=[[0.0, 948.3137254901958], [1.0, 5.690196078431373]]}","{type=[[0.0, 948.3137254901958], [1.0, 5.690196078431373]]}","{type=[[0.0, 954.0039215686271]]}","{type=[[0.0, 870.8392156862741], [1.0, 83.16470588235293]]}","{type=[[0.0, 876.1843137254898], [1.0, 77.81960784313725]]}","{type=[[0.0, 876.1843137254898], [1.0, 77.81960784313725]]}",521788962,"{type=[[0.0, 953.6588235294116], [1.0, 0.34509803921568627]]}","{type=[[0.0, 953.6588235294116], [1.0, 0.34509803921568627]]}","{type=[[0.0, 954.0039215686271]]}",
00000000000000000228,"{type=[[0.0, 860.576470588235], [1.0, 90.98431372549021]]}","{type=[[0.0, 853.7411764705879], [1.0, 97.81960784313726]]}","{type=[[0.0, 944.7254901960782], [1.0, 6.8352941176470585]]}","{type=[[0.0, 128.31372549019605], [1.0, 823.2470588235291]]}","{type=[[0.0, 219.29803921568626], [1.0, 732.262745098039]]}","{type=[[0.0, 226.13333333333333], [1.0, 725.4274509803919]]}",521736513,"{type=[[0.0, 951.5607843137252]]}","{type=[[0.0, 951.5607843137252]]}","{type=[[0.0, 951.5607843137252]]}",
00000000000000000229,"{type=[[0.0, 945.7490196078429], [1.0, 1.835294117647059]]}","{type=[[0.0, 940.7490196078428], [1.0, 6.835294117647059]]}","{type=[[0.0, 942.5843137254899], [1.0, 5.0]]}","{type=[[0.0, 389.0313725490197], [1.0, 558.5529411764704]]}","{type=[[0.0, 390.86666666666673], [1.0, 556.7176470588234]]}","{type=[[0.0, 395.86666666666673], [1.0, 551.7176470588234]]}",521598715,"{type=[[0.0, 947.5843137254899]]}","{type=[[0.0, 947.5843137254899]]}","{type=[[0.0, 947.5843137254899]]}",
0000000000000000022a,"{type=[[0.0, 951.9215686274509]]}","{type=[[0.0, 933.9215686274509], [1.0, 18.0]]}","{type=[[0.0, 933.9215686274509], [1.0, 18.0]]}","{type=[[0.0, 355.6627450980391], [1.0, 596.2588235294116]]}","{type=[[0.0, 355.6627450980391], [1.0, 596.2588235294116]]}","{type=[[0.0, 373.66274509803907], [1.0, 578.2588235294118]]}",521834916,"{type=[[0.0, 951.9215686274509]]}","{type=[[0.0, 951.9215686274509]]}","{type=[[0.0, 951.9215686274509]]}",
0000000000000000022b,"{type=[[0.0, 931.8196078431374], [1.0, 11.380392156862746]]}","{type=[[0.0, 894.050980392157], [1.0, 49.14901960784314]]}","{type=[[0.0, 905.4313725490197], [1.0, 37.76862745098039]]}","{type=[[0.0, 169.278431372549], [1.0, 773.9215686274507]]}","{type=[[0.0, 180.65882352941173], [1.0, 762.5411764705879]]}","{type=[[0.0, 218.42745098039214], [1.0, 724.7725490196075]]}",521310012,"{type=[[0.0, 943.2]]}","{type=[[0.0, 943.2]]}","{type=[[0.0, 943.2]]}",
0000000000000000022c,"{type=[[0.0, 937.9294117647061]]}","{type=[[0.0, 937.9294117647061]]}","{type=[[0.0, 937.9294117647061]]}","{type=[[0.0, 615.8509803921568], [1.0, 322.078431372549]]}","{type=[[0.0, 615.8509803921568], [1.0, 322.078431372549]]}","{type=[[0.0, 615.8509803921568], [1.0, 322.078431372549]]}",521119749,"{type=[[0.0, 937.9294117647061]]}","{type=[[0.0, 937.9294117647061]]}","{type=[[0.0, 937.9294117647061]]}",
0000000000000000022d,"{type=[[0.0, 945.8156862745099]]}","{type=[[0.0, 942.3333333333335], [1.0, 3.4823529411764707]]}","{type=[[0.0, 942.3333333333335], [1.0, 3.4823529411764707]]}","{type=[[0.0, 856.0823529411764], [1.0, 89.73333333333333]]}","{type=[[0.0, 856.0823529411764], [1.0, 89.73333333333333]]}","{type=[[0.0, 859.5647058823529], [1.0, 86.25098039215686]]}",521572509,"{type=[[0.0, 945.8156862745099]]}","{type=[[0.0, 945.8156862745099]]}","{type=[[0.0, 945.8156862745099]]}",
0000000000000000022e,"{type=[[0.0, 946.6627450980392], [1.0, 5.2666666666666675]]}","{type=[[0.0, 927.8392156862745], [1.0, 24.090196078431372]]}","{type=[[0.0, 933.1058823529411], [1.0, 18.823529411764703]]}","{type=[[0.0, 374.1607843137255], [1.0, 577.7686274509801]]}","{type=[[0.0, 379.4274509803922], [1.0, 572.5019607843136]]}","{type=[[0.0, 398.2509803921569], [1.0, 553.6784313725487]]}",521795582,"{type=[[0.0, 951.9294117647057]]}","{type=[[0.0, 951.9294117647057]]}","{type=[[0.0, 951.9294117647057]]}",
0000000000000000022f,"{type=[[0.0, 946.8509803921571], [1.0, 5.0]]}","{type=[[0.0, 943.8509803921571], [1.0, 8.0]]}","{type=[[0.0, 948.8509803921567], [1.0, 3.0]]}","{type=[[0.0, 459.87058823529395], [1.0, 491.98039215686276]]}","{type=[[0.0, 464.56470588235277], [1.0, 487.28627450980395]]}","{type=[[0.0, 467.56470588235277], [1.0, 484.28627450980395]]}",521821817,"{type=[[0.0, 951.5450980392156], [1.0, 0.3058823529411765]]}","{type=[[0.0, 951.5450980392156], [1.0, 0.3058823529411765]]}","{type=[[0.0, 951.850980392157]]}",
00000000000000000230,"{type=[[0.0, 954.756862745098]]}","{type=[[0.0, 939.8078431372548], [1.0, 14.949019607843137]]}","{type=[[0.0, 939.8078431372548], [1.0, 14.949019607843137]]}","{type=[[0.0, 392.31764705882347], [1.0, 562.4392156862747]]}","{type=[[0.0, 392.31764705882347], [1.0, 562.4392156862747]]}","{type=[[0.0, 407.2666666666666], [1.0, 547.4901960784315]]}",521848059,"{type=[[0.0, 954.756862745098]]}","{type=[[0.0, 954.756862745098]]}","{type=[[0.0, 954.756862745098]]}",
00000000000000000231,"{type=[[0.0, 956.7058823529409]]}","{type=[[0.0, 956.6862745098039], [1.0, 0.0196078431372549]]}","{type=[[0.0, 956.6862745098039], [1.0, 0.0196078431372549]]}","{type=[[0.0, 700.6745098039214], [1.0, 256.0313725490196]]}","{type=[[0.0, 700.6745098039214], [1.0, 256.0313725490196]]}","{type=[[0.0, 700.6941176470586], [1.0, 256.01176470588234]]}",521939924,"{type=[[0.0, 956.7058823529409]]}","{type=[[0.0, 956.7058823529409]]}","{type=[[0.0, 956.7058823529409]]}",
00000000000000000232,"{type=[[0.0, 956.0431372549018]]}","{type=[[0.0, 952.0431372549019], [1.0, 4.0]]}","{type=[[0.0, 952.0431372549019], [1.0, 4.0]]}","{type=[[0.0, 321.27843137254905], [1.0, 634.7647058823529]]}","{type=[[0.0, 321.27843137254905], [1.0, 634.7647058823529]]}","{type=[[0.0, 325.27843137254905], [1.0, 630.7647058823529]]}",522077714,"{type=[[0.0, 956.0431372549018]]}","{type=[[0.0, 956.0431372549018]]}","{type=[[0.0, 956.0431372549018]]}",
00000000000000000233,"{type=[[0.0, 952.5686274509804]]}","{type=[[0.0, 943.2549019607844], [1.0, 9.313725490196074]]}","{type=[[0.0, 943.2549019607844], [1.0, 9.313725490196074]]}","{type=[[0.0, 126.68627450980392], [1.0, 825.8823529411764]]}","{type=[[0.0, 126.68627450980392], [1.0, 825.8823529411764]]}","{type=[[0.0, 136.00000000000003], [1.0, 816.5686274509803]]}",521756230,"{type=[[0.0, 952.5686274509804]]}","{type=[[0.0, 952.5686274509804]]}","{type=[[0.0, 952.5686274509804]]}",
