system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
000000000000000001e9,"{type=[[0.0, 878.1098039215684]]}","{type=[[0.0, 878.1098039215684]]}","{type=[[0.0, 878.1098039215684]]}","{type=[[0.0, 321.5647058823529], [1.0, 556.5450980392155]]}","{type=[[0.0, 321.5647058823529], [1.0, 556.5450980392155]]}","{type=[[0.0, 321.5647058823529], [1.0, 556.5450980392155]]}",517288274,"{type=[[0.0, 878.1098039215684]]}","{type=[[0.0, 878.1098039215684]]}","{type=[[0.0, 878.1098039215684]]}",
000000000000000001ea,"{type=[[0.0, 881.749019607843]]}","{type=[[0.0, 881.749019607843]]}","{type=[[0.0, 881.749019607843]]}","{type=[[0.0, 64.90196078431373], [1.0, 816.8470588235291]]}","{type=[[0.0, 64.90196078431373], [1.0, 816.8470588235291]]}","{type=[[0.0, 64.90196078431373], [1.0, 816.8470588235291]]}",517334200,"{type=[[0.0, 881.749019607843]]}","{type=[[0.0, 881.749019607843]]}","{type=[[0.0, 881.749019607843]]}",
000000000000000001eb,"{type=[[0.0, 878.5098039215687]]}","{type=[[0.0, 865.5529411764704], [1.0, 12.956862745098038]]}","{type=[[0.0, 865.5529411764704], [1.0, 12.956862745098038]]}","{type=[[0.0, 19.48627450980392], [1.0, 859.0235294117647]]}","{type=[[0.0, 19.48627450980392], [1.0, 859.0235294117647]]}","{type=[[0.0, 32.44313725490196], [1.0, 846.0666666666666]]}",517307957,"{type=[[0.0, 878.5098039215687]]}","{type=[[0.0, 878.5098039215687]]}","{type=[[0.0, 878.5098039215687]]}",
000000000000000001ec,"{type=[[0.0, 872.9843137254904]]}","{type=[[0.0, 870.9843137254902], [1.0, 2.0]]}","{type=[[0.0, 870.9843137254902], [1.0, 2.0]]}","{type=[[0.0, 413.4117647058824], [1.0, 459.5725490196077]]}","{type=[[0.0, 413.4117647058824], [1.0, 459.5725490196077]]}","{type=[[0.0, 415.4117647058824], [1.0, 457.5725490196077]]}",517307976,"{type=[[0.0, 872.9843137254904]]}","{type=[[0.0, 872.9843137254904]]}","{type=[[0.0, 872.9843137254904]]}",
000000000000000001ed,"{type=[[0.0, 884.5882352941178]]}","{type=[[0.0, 884.5882352941178]]}","{type=[[0.0, 884.5882352941178]]}","{type=[[0.0, 884.5882352941178]]}","{type=[[0.0, 884.5882352941178]]}","{type=[[0.0, 884.5882352941178]]}",517760692,"{type=[[0.0, 884.5882352941178]]}","{type=[[0.0, 884.5882352941178]]}","{type=[[0.0, 884.5882352941178]]}",
000000000000000001ee,"{type=[[0.0, 886.270588235294]]}","{type=[[0.0, 886.270588235294]]}","{type=[[0.0, 886.270588235294]]}","{type=[[0.0, 785.8823529411765], [1.0, 100.38823529411764]]}","{type=[[0.0, 785.8823529411765], [1.0, 100.38823529411764]]}","{type=[[0.0, 785.8823529411765], [1.0, 100.38823529411764]]}",517996911,"{type=[[0.0, 886.270588235294]]}","{type=[[0.0, 886.270588235294]]}","{type=[[0.0, 886.270588235294]]}",
000000000000000001ef,"{type=[[0.0, 885.043137254902]]}","{type=[[0.0, 885.043137254902]]}","{type=[[0.0, 885.043137254902]]}","{type=[[0.0, 683.2039215686276], [1.0, 201.83921568627457]]}","{type=[[0.0, 683.2039215686276], [1.0, 201.83921568627457]]}","{type=[[0.0, 683.2039215686276], [1.0, 201.83921568627457]]}",517865688,"{type=[[0.0, 885.043137254902]]}","{type=[[0.0, 885.043137254902]]}","{type=[[0.0, 885.043137254902]]}",
000000000000000001f0,"{type=[[0.0, 876.4156862745098]]}","{type=[[0.0, 876.4156862745098]]}","{type=[[0.0, 876.4156862745098]]}","{type=[[0.0, 111.5921568627451], [1.0, 764.8235294117646]]}","{type=[[0.0, 111.5921568627451], [1.0, 764.8235294117646]]}","{type=[[0.0, 111.5921568627451], [1.0, 764.8235294117646]]}",516973361,"{type=[[0.0, 876.4156862745098]]}","{type=[[0.0, 876.4156862745098]]}","{type=[[0.0, 876.4156862745098]]}",
000000000000000001f1,"{type=[[0.0, 872.0]]}","{type=[[0.0, 869.0], [1.0, 3.0]]}","{type=[[0.0, 869.0], [1.0, 3.0]]}","{type=[[0.0, 690.2588235294119], [1.0, 181.74117647058824]]}","{type=[[0.0, 690.2588235294119], [1.0, 181.74117647058824]]}","{type=[[0.0, 693.2588235294119], [1.0, 178.74117647058824]]}",516953597,"{type=[[0.0, 872.0]]}","{type=[[0.0, 872.0]]}","{type=[[0.0, 872.0]]}",
000000000000000001f2,"{type=[[0.0, 875.1843137254899]]}","{type=[[0.0, 864.5803921568626], [1.0, 10.603921568627452]]}","{type=[[0.0, 864.5803921568626], [1.0, 10.603921568627452]]}","{type=[[0.0, 269.1372549019608], [1.0, 606.0470588235293]]}","{type=[[0.0, 269.1372549019608], [1.0, 606.0470588235293]]}","{type=[[0.0, 279.74117647058824], [1.0, 595.4431372549019]]}",516901110,"{type=[[0.0, 875.1843137254899]]}","{type=[[0.0, 875.1843137254899]]}","{type=[[0.0, 875.1843137254899]]}",
000000000000000001f3,"{type=[[0.0, 873.1843137254906], [1.0, 2.0]]}","{type=[[0.0, 873.1843137254906], [1.0, 2.0]]}","{type=[[0.0, 875.1843137254903]]}","{type=[[0.0, 298.5450980392157], [1.0, 576.6392156862744]]}","{type=[[0.0, 300.5450980392157], [1.0, 574.6392156862744]]}","{type=[[0.0, 300.5450980392157], [1.0, 574.6392156862744]]}",516802690,"{type=[[0.0, 875.1843137254903]]}","{type=[[0.0, 875.1843137254903]]}","{type=[[0.0, 875.1843137254903]]}",
000000000000000001f4,"{type=[[0.0, 881.5607843137254]]}","{type=[[0.0, 877.356862745098], [1.0, 4.203921568627451]]}","{type=[[0.0, 877.356862745098], [1.0, 4.203921568627451]]}","{type=[[0.0, 84.52156862745099], [1.0, 797.0392156862744]]}","{type=[[0.0, 84.52156862745099], [1.0, 797.0392156862744]]}","{type=[[0.0, 88.72549019607843], [1.0, 792.835294117647]]}",517202945,"{type=[[0.0, 881.5607843137254]]}","{type=[[0.0, 881.5607843137254]]}","{type=[[0.0, 881.5607843137254]]}",
000000000000000001f5,"{type=[[0.0, 867.2431372549015], [1.0, 8.0]]}","{type=[[0.0, 867.2431372549015], [1.0, 8.0]]}","{type=[[0.0, 875.2431372549015]]}","{type=[[0.0, 386.1254901960783], [1.0, 489.11764705882354]]}","{type=[[0.0, 394.1254901960783], [1.0, 481.11764705882354]]}","{type=[[0.0, 394.1254901960783], [1.0, 481.11764705882354]]}",516907675,"{type=[[0.0, 875.2431372549015]]}","{type=[[0.0, 875.2431372549015]]}","{type=[[0.0, 875.2431372549015]]}",
000000000000000001f6,"{type=[[0.0, 877.5568627450976]]}","{type=[[0.0, 877.5568627450976]]}","{type=[[0.0, 877.5568627450976]]}","{type=[[0.0, 805.670588235294], [1.0, 71.88627450980391]]}","{type=[[0.0, 805.670588235294], [1.0, 71.88627450980391]]}","{type=[[0.0, 805.670588235294], [1.0, 71.88627450980391]]}",517019214,"{type=[[0.0, 877.5568627450976]]}","{type=[[0.0, 877.5568627450976]]}","{type=[[0.0, 877.5568627450976]]}",
000000000000000001f7,"{type=[[0.0, 883.4156862745099]]}","{type=[[0.0, 882.3098039215686], [1.0, 1.1058823529411765]]}","{type=[[0.0, 882.3098039215686], [1.0, 1.1058823529411765]]}","{type=[[0.0, 499.7607843137253], [1.0, 383.65490196078446]]}","{type=[[0.0, 499.7607843137253], [1.0, 383.65490196078446]]}","{type=[[0.0, 500.8666666666665], [1.0, 382.54901960784326]]}",517530973,"{type=[[0.0, 883.4156862745099]]}","{type=[[0.0, 883.4156862745099]]}","{type=[[0.0, 883.4156862745099]]}",
000000000000000001f8,"{type=[[0.0, 874.7647058823529], [1.0, 7.737254901960784]]}","{type=[[0.0, 874.7647058823529], [1.0, 7.737254901960784]]}","{type=[[0.0, 882.5019607843137]]}","{type=[[0.0, 179.04705882352945], [1.0, 703.4549019607845]]}","{type=[[0.0, 186.78431372549022], [1.0, 695.7176470588237]]}","{type=[[0.0, 186.78431372549022], [1.0, 695.7176470588237]]}",517635973,"{type=[[0.0, 882.5019607843137]]}","{type=[[0.0, 882.5019607843137]]}","{type=[[0.0, 882.5019607843137]]}",
