system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
00000000000000000219,"{type=[[0.0, 893.5137254901961], [1.0, 2.0]]}","{type=[[0.0, 893.5137254901961], [1.0, 2.0]]}","{type=[[0.0, 895.5137254901955]]}","{type=[[0.0, 23.023529411764706], [1.0, 872.4901960784308]]}","{type=[[0.0, 25.023529411764706], [1.0, 870.4901960784308]]}","{type=[[0.0, 25.023529411764706], [1.0, 870.4901960784308]]}",518436450,"{type=[[0.0, 895.5137254901955]]}","{type=[[0.0, 895.5137254901955]]}","{type=[[0.0, 895.5137254901955]]}",
0000000000000000021a,"{type=[[0.0, 905.654901960784], [1.0, 0.00784313725490196]]}","{type=[[0.0, 880.8666666666666], [1.0, 24.796078431372553]]}","{type=[[0.0, 880.8745098039215], [1.0, 24.78823529411765]]}","{type=[[0.0, 56.21568627450981], [1.0, 849.4470588235293]]}","{type=[[0.0, 56.22352941176471], [1.0, 849.4392156862745]]}","{type=[[0.0, 81.01176470588237], [1.0, 824.6509803921568]]}",519013848,"{type=[[0.0, 905.6627450980392]]}","{type=[[0.0, 905.6627450980392]]}","{type=[[0.0, 905.6627450980392]]}",
0000000000000000021b,"{type=[[0.0, 905.0470588235291]]}","{type=[[0.0, 900.8666666666664], [1.0, 4.180392156862745]]}","{type=[[0.0, 900.8666666666664], [1.0, 4.180392156862745]]}","{type=[[0.0, 205.25098039215692], [1.0, 699.7960784313723]]}","{type=[[0.0, 205.25098039215692], [1.0, 699.7960784313723]]}","{type=[[0.0, 209.43137254901967], [1.0, 695.6156862745094]]}",519026964,"{type=[[0.0, 905.0470588235291]]}","{type=[[0.0, 905.0470588235291]]}","{type=[[0.0, 905.0470588235291]]}",
0000000000000000024b,"{type=[[0.0, 888.7254901960782], [1.0, 25.266666666666666]]}","{type=[[0.0, 869.9215686274508], [1.0, 44.070588235294125]]}","{type=[[0.0, 895.1882352941175], [1.0, 18.80392156862745]]}","{type=[[0.0, 129.57254901960783], [1.0, 784.419607843137]]}","{type=[[0.0, 154.8392156862745], [1.0, 759.1529411764702]]}","{type=[[0.0, 173.64313725490192], [1.0, 740.3490196078428]]}",519348308,"{type=[[0.0, 913.992156862745]]}","{type=[[0.0, 913.992156862745]]}","{type=[[0.0, 913.992156862745]]}",
0000000000000000024c,"{type=[[0.0, 916.0666666666666], [1.0, 3.215686274509804]]}","{type=[[0.0, 903.0666666666666], [1.0, 16.215686274509803]]}","{type=[[0.0, 906.2823529411764], [1.0, 13.0]]}","{type=[[0.0, 57.10980392156863], [1.0, 862.1725490196078]]}","{type=[[0.0, 60.325490196078434], [1.0, 858.956862745098]]}","{type=[[0.0, 73.32549019607842], [1.0, 845.956862745098]]}",519853489,"{type=[[0.0, 919.2823529411764]]}","{type=[[0.0, 919.2823529411764]]}","{type=[[0.0, 919.2823529411764]]}",
0000000000000000024d,"{type=[[0.0, 911.4862745098039]]}","{type=[[0.0, 897.4862745098039], [1.0, 14.0]]}","{type=[[0.0, 897.4862745098039], [1.0, 14.0]]}","{type=[[0.0, 52.07450980392157], [1.0, 859.4117647058824]]}","{type=[[0.0, 52.07450980392157], [1.0, 859.4117647058824]]}","{type=[[0.0, 66.07450980392159], [1.0, 845.4117647058824]]}",519387632,"{type=[[0.0, 911.4862745098039]]}","{type=[[0.0, 911.4862745098039]]}","{type=[[0.0, 911.4862745098039]]}",
0000000000000000024e,"{type=[[0.0, 874.0274509803918], [1.0, 40.86666666666666]]}","{type=[[0.0, 811.2745098039212], [1.0, 103.61960784313725]]}","{type=[[0.0, 852.141176470588], [1.0, 62.75294117647059]]}","{type=[[0.0, 112.6980392156863], [1.0, 802.1960784313724]]}","{type=[[0.0, 153.5647058823529], [1.0, 761.3294117647058]]}","{type=[[0.0, 216.3176470588235], [1.0, 698.5764705882352]]}",519335147,"{type=[[0.0, 914.8941176470585]]}","{type=[[0.0, 914.8941176470585]]}","{type=[[0.0, 914.8941176470585]]}",
0000000000000000024f,"{type=[[0.0, 906.654901960784]]}","{type=[[0.0, 906.654901960784]]}","{type=[[0.0, 906.654901960784]]}","{type=[[0.0, 670.3058823529409], [1.0, 236.34901960784313]]}","{type=[[0.0, 670.3058823529409], [1.0, 236.34901960784313]]}","{type=[[0.0, 670.3058823529409], [1.0, 236.34901960784313]]}",518836522,"{type=[[0.0, 906.654901960784]]}","{type=[[0.0, 906.654901960784]]}","{type=[[0.0, 906.654901960784]]}",
00000000000000000250,"{type=[[0.0, 895.1960784313728], [1.0, 3.0]]}","{type=[[0.0, 863.3098039215689], [1.0, 34.886274509803926]]}","{type=[[0.0, 866.3098039215689], [1.0, 31.886274509803922]]}","{type=[[0.0, 11.984313725490194], [1.0, 886.2117647058827]]}","{type=[[0.0, 14.984313725490196], [1.0, 883.2117647058827]]}","{type=[[0.0, 46.87058823529412], [1.0, 851.3254901960787]]}",518705313,"{type=[[0.0, 898.1960784313729]]}","{type=[[0.0, 898.1960784313729]]}","{type=[[0.0, 898.1960784313729]]}",
00000000000000000251,"{type=[[0.0, 884.8705882352941], [1.0, 20.819607843137256]]}","{type=[[0.0, 897.6901960784314], [1.0, 8.0]]}","{type=[[0.0, 905.6901960784314]]}","{type=[[0.0, 32.14901960784314], [1.0, 873.5411764705883]]}","{type=[[0.0, 52.968627450980385], [1.0, 852.721568627451]]}","{type=[[0.0, 40.14901960784314], [1.0, 865.5411764705883]]}",518816845,"{type=[[0.0, 905.6901960784314]]}","{type=[[0.0, 905.6901960784314]]}","{type=[[0.0, 892.8705882352941], [1.0, 12.819607843137256]]}",
