system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
000000000000000000e2,"{type=[[0.0, 797.8588235294121]]}","{type=[[0.0, 797.8588235294121]]}","{type=[[0.0, 995.1921568627453]]}","{type=[[0.0, 696.6039215686277], [1.0, 101.25490196078432]]}","{type=[[0.0, 796.0352941176473], [1.0, 199.156862745098]]}","{type=[[0.0, 796.0352941176473], [1.0, 199.156862745098]]}",524282146,"{type=[[0.0, 797.8588235294121]]}","{type=[[0.0, 797.8588235294121]]}","{type=[[0.0, 995.1921568627453]]}",
000000000000000000e3,"{type=[[0.0, 993.0470588235296]]}","{type=[[0.0, 993.0470588235296]]}","{type=[[0.0, 993.0470588235296]]}","{type=[[0.0, 918.1921568627453], [1.0, 74.8549019607843]]}","{type=[[0.0, 918.1921568627453], [1.0, 74.8549019607843]]}","{type=[[0.0, 918.1921568627453], [1.0, 74.8549019607843]]}",524104989,"{type=[[0.0, 993.0470588235296]]}","{type=[[0.0, 993.0470588235296]]}","{type=[[0.0, 993.0470588235296]]}",
000000000000000000e4,"{type=[[0.0, 985.8235294117646]]}","{type=[[0.0, 984.8235294117649], [1.0, 1.0]]}","{type=[[0.0, 984.8235294117649], [1.0, 1.0]]}","{type=[[0.0, 817.8039215686274], [1.0, 168.0196078431373]]}","{type=[[0.0, 817.8039215686274], [1.0, 168.0196078431373]]}","{type=[[0.0, 818.8039215686274], [1.0, 167.0196078431373]]}",523731006,"{type=[[0.0, 985.8235294117646]]}","{type=[[0.0, 985.8235294117646]]}","{type=[[0.0, 985.8235294117646]]}",
000000000000000000e5,"{type=[[0.0, 989.0117647058825]]}","{type=[[0.0, 989.0117647058825]]}","{type=[[0.0, 989.0117647058825]]}","{type=[[0.0, 745.0823529411767], [1.0, 243.9294117647059]]}","{type=[[0.0, 745.0823529411767], [1.0, 243.9294117647059]]}","{type=[[0.0, 745.0823529411767], [1.0, 243.9294117647059]]}",523927852,"{type=[[0.0, 989.0117647058825]]}","{type=[[0.0, 989.0117647058825]]}","{type=[[0.0, 989.0117647058825]]}",
000000000000000000e6,"{type=[[0.0, 989.4823529411768]]}","{type=[[0.0, 989.4823529411768]]}","{type=[[0.0, 989.4823529411768]]}","{type=[[0.0, 959.3254901960787], [1.0, 30.15686274509804]]}","{type=[[0.0, 959.3254901960787], [1.0, 30.15686274509804]]}","{type=[[0.0, 959.3254901960787], [1.0, 30.15686274509804]]}",523895051,"{type=[[0.0, 989.4823529411768]]}","{type=[[0.0, 989.4823529411768]]}","{type=[[0.0, 989.4823529411768]]}",
000000000000000000e7,"{type=[[0.0, 989.2666666666667]]}","{type=[[0.0, 989.2666666666667]]}","{type=[[0.0, 989.2666666666667]]}","{type=[[0.0, 427.5882352941177], [1.0, 561.6784313725491]]}","{type=[[0.0, 427.5882352941177], [1.0, 561.6784313725491]]}","{type=[[0.0, 427.5882352941177], [1.0, 561.6784313725491]]}",523947544,"{type=[[0.0, 989.2666666666667]]}","{type=[[0.0, 989.2666666666667]]}","{type=[[0.0, 989.2666666666667]]}",
000000000000000000e8,"{type=[[0.0, 995.7098039215684]]}","{type=[[0.0, 995.7098039215684]]}","{type=[[0.0, 995.7098039215684]]}","{type=[[0.0, 865.9294117647056], [1.0, 129.78039215686272]]}","{type=[[0.0, 865.9294117647056], [1.0, 129.78039215686272]]}","{type=[[0.0, 865.9294117647056], [1.0, 129.78039215686272]]}",524124703,"{type=[[0.0, 995.7098039215684]]}","{type=[[0.0, 995.7098039215684]]}","{type=[[0.0, 995.7098039215684]]}",
000000000000000000e9,"{type=[[0.0, 999.207843137255]]}","{type=[[0.0, 999.207843137255]]}","{type=[[0.0, 999.207843137255]]}","{type=[[0.0, 789.1450980392158], [1.0, 210.06274509803922]]}","{type=[[0.0, 789.1450980392158], [1.0, 210.06274509803922]]}","{type=[[0.0, 789.1450980392158], [1.0, 210.06274509803922]]}",524387161,"{type=[[0.0, 999.207843137255]]}","{type=[[0.0, 999.207843137255]]}","{type=[[0.0, 999.207843137255]]}",
000000000000000000ea,"{type=[[0.0, 988.4862745098039], [1.0, 6.792156862745098]]}","{type=[[0.0, 988.4862745098039], [1.0, 6.792156862745098]]}","{type=[[0.0, 995.278431372549]]}","{type=[[0.0, 913.313725490196], [1.0, 81.96470588235293]]}","{type=[[0.0, 920.1058823529412], [1.0, 75.17254901960784]]}","{type=[[0.0, 920.1058823529412], [1.0, 75.17254901960784]]}",524072234,"{type=[[0.0, 995.278431372549]]}","{type=[[0.0, 995.278431372549]]}","{type=[[0.0, 995.278431372549]]}",
000000000000000000eb,"{type=[[0.0, 986.3215686274509]]}","{type=[[0.0, 986.3215686274509]]}","{type=[[0.0, 986.3215686274509]]}","{type=[[0.0, 758.3999999999997], [1.0, 227.92156862745097]]}","{type=[[0.0, 758.3999999999997], [1.0, 227.92156862745097]]}","{type=[[0.0, 758.3999999999997], [1.0, 227.92156862745097]]}",523960710,"{type=[[0.0, 986.3215686274509]]}","{type=[[0.0, 986.3215686274509]]}","{type=[[0.0, 986.3215686274509]]}",
000000000000000000ed,"{type=[[0.0, 977.96862745098], [1.0, 7.0]]}","{type=[[0.0, 970.96862745098], [1.0, 14.0]]}","{type=[[0.0, 977.96862745098], [1.0, 7.0]]}","{type=[[0.0, 710.5764705882349], [1.0, 274.3921568627451]]}","{type=[[0.0, 717.5764705882349], [1.0, 267.3921568627451]]}","{type=[[0.0, 724.5764705882349], [1.0, 260.3921568627451]]}",523580147,"{type=[[0.0, 984.96862745098]]}","{type=[[0.0, 984.96862745098]]}","{type=[[0.0, 984.96862745098]]}",
000000000000000000ee,"{type=[[0.0, 984.2823529411768]]}","{type=[[0.0, 984.2823529411768]]}","{type=[[0.0, 984.2823529411768]]}","{type=[[0.0, 975.7529411764709], [1.0, 8.529411764705882]]}","{type=[[0.0, 975.7529411764709], [1.0, 8.529411764705882]]}","{type=[[0.0, 975.7529411764709], [1.0, 8.529411764705882]]}",523658865,"{type=[[0.0, 984.2823529411768]]}","{type=[[0.0, 984.2823529411768]]}","{type=[[0.0, 984.2823529411768]]}",
000000000000000000fc,"{type=[[0.0, 980.2823529411767]]}","{type=[[0.0, 980.2823529411767]]}","{type=[[0.0, 980.2823529411767]]}","{type=[[0.0, 974.7098039215687], [1.0, 5.572549019607843]]}","{type=[[0.0, 974.7098039215687], [1.0, 5.572549019607843]]}","{type=[[0.0, 974.7098039215687], [1.0, 5.572549019607843]]}",523508048,"{type=[[0.0, 980.2823529411767]]}","{type=[[0.0, 980.2823529411767]]}","{type=[[0.0, 980.2823529411767]]}",
000000000000000000fd,"{type=[[0.0, 979.1333333333334]]}","{type=[[0.0, 979.1333333333334]]}","{type=[[0.0, 979.1333333333334]]}","{type=[[0.0, 779.4705882352941], [1.0, 199.66274509803924]]}","{type=[[0.0, 779.4705882352941], [1.0, 199.66274509803924]]}","{type=[[0.0, 779.4705882352941], [1.0, 199.66274509803924]]}",523521144,"{type=[[0.0, 979.1333333333334]]}","{type=[[0.0, 979.1333333333334]]}","{type=[[0.0, 979.1333333333334]]}",
00000000000000000100,"{type=[[0.0, 990.4862745098039], [1.0, 2.0]]}","{type=[[0.0, 990.4862745098039], [1.0, 2.0]]}","{type=[[0.0, 992.4862745098039]]}","{type=[[0.0, 425.4666666666667], [1.0, 567.0196078431374]]}","{type=[[0.0, 427.4666666666667], [1.0, 565.0196078431374]]}","{type=[[0.0, 427.4666666666667], [1.0, 565.0196078431374]]}",524052596,"{type=[[0.0, 992.4862745098039]]}","{type=[[0.0, 992.4862745098039]]}","{type=[[0.0, 992.4862745098039]]}",
00000000000000000101,"{type=[[0.0, 977.8313725490194], [1.0, 17.51372549019608]]}","{type=[[0.0, 977.8313725490194], [1.0, 17.51372549019608]]}","{type=[[0.0, 995.3450980392154]]}","{type=[[0.0, 647.6509803921571], [1.0, 347.69411764705893]]}","{type=[[0.0, 662.1647058823532], [1.0, 333.1803921568628]]}","{type=[[0.0, 662.1647058823532], [1.0, 333.1803921568628]]}",524374112,"{type=[[0.0, 992.3450980392157], [1.0, 3.0]]}","{type=[[0.0, 992.3450980392157], [1.0, 3.0]]}","{type=[[0.0, 995.3450980392154]]}",
00000000000000000102,"{type=[[0.0, 984.2509803921566], [1.0, 1.7176470588235295]]}","{type=[[0.0, 984.2509803921566], [1.0, 1.7176470588235295]]}","{type=[[0.0, 985.9686274509802]]}","{type=[[0.0, 594.4196078431372], [1.0, 391.5490196078431]]}","{type=[[0.0, 596.1372549019608], [1.0, 389.8313725490196]]}","{type=[[0.0, 596.1372549019608], [1.0, 389.8313725490196]]}",523790172,"{type=[[0.0, 985.9686274509802]]}","{type=[[0.0, 985.9686274509802]]}","{type=[[0.0, 985.9686274509802]]}",
00000000000000000103,"{type=[[0.0, 987.1450980392157]]}","{type=[[0.0, 987.1450980392157]]}","{type=[[0.0, 987.1450980392157]]}","{type=[[0.0, 987.1450980392157]]}","{type=[[0.0, 987.1450980392157]]}","{type=[[0.0, 987.1450980392157]]}",523822981,"{type=[[0.0, 987.1450980392157]]}","{type=[[0.0, 987.1450980392157]]}","{type=[[0.0, 987.1450980392157]]}",
