system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
00000000000000000301,"{type=[[0.0, 991.9529411764707]]}","{type=[[0.0, 991.9529411764707]]}","{type=[[0.0, 991.9529411764707]]}","{type=[[0.0, 122.6509803921569], [1.0, 869.3019607843138]]}","{type=[[0.0, 122.6509803921569], [1.0, 869.3019607843138]]}","{type=[[0.0, 122.6509803921569], [1.0, 869.3019607843138]]}",523835962,"{type=[[0.0, 991.9529411764707]]}","{type=[[0.0, 991.9529411764707]]}","{type=[[0.0, 991.9529411764707]]}",
00000000000000000302,"{type=[[0.0, 985.1450980392154]]}","{type=[[0.0, 985.1450980392154]]}","{type=[[0.0, 985.1450980392154]]}","{type=[[0.0, 414.65098039215684], [1.0, 570.4941176470586]]}","{type=[[0.0, 414.65098039215684], [1.0, 570.4941176470586]]}","{type=[[0.0, 414.65098039215684], [1.0, 570.4941176470586]]}",523652226,"{type=[[0.0, 985.1450980392154]]}","{type=[[0.0, 985.1450980392154]]}","{type=[[0.0, 985.1450980392154]]}",
00000000000000000303,"{type=[[0.0, 992.5843137254901], [1.0, 1.0]]}","{type=[[0.0, 992.5843137254901], [1.0, 1.0]]}","{type=[[0.0, 993.5843137254903]]}","{type=[[0.0, 516.8862745098039], [1.0, 476.69803921568626]]}","{type=[[0.0, 517.8862745098039], [1.0, 475.69803921568626]]}","{type=[[0.0, 517.8862745098039], [1.0, 475.69803921568626]]}",524137740,"{type=[[0.0, 993.5843137254903]]}","{type=[[0.0, 993.5843137254903]]}","{type=[[0.0, 993.5843137254903]]}",
00000000000000000304,"{type=[[0.0, 994.7529411764706]]}","{type=[[0.0, 911.427450980392], [1.0, 83.3254901960784]]}","{type=[[0.0, 911.427450980392], [1.0, 83.3254901960784]]}","{type=[[0.0, 166.15294117647062], [1.0, 828.5999999999999]]}","{type=[[0.0, 166.15294117647062], [1.0, 828.5999999999999]]}","{type=[[0.0, 249.47843137254907], [1.0, 745.2745098039214]]}",524249284,"{type=[[0.0, 994.7529411764706]]}","{type=[[0.0, 994.7529411764706]]}","{type=[[0.0, 994.7529411764706]]}",
00000000000000000305,"{type=[[0.0, 992.5764705882358], [1.0, 4.43921568627451]]}","{type=[[0.0, 992.5764705882358], [1.0, 4.43921568627451]]}","{type=[[0.0, 997.0156862745104]]}","{type=[[0.0, 262.18039215686275], [1.0, 734.8352941176473]]}","{type=[[0.0, 266.6196078431372], [1.0, 730.3960784313728]]}","{type=[[0.0, 266.6196078431372], [1.0, 730.3960784313728]]}",524380507,"{type=[[0.0, 997.0156862745104]]}","{type=[[0.0, 997.0156862745104]]}","{type=[[0.0, 997.0156862745104]]}",
00000000000000000306,"{type=[[0.0, 994.1607843137248]]}","{type=[[0.0, 994.1607843137248]]}","{type=[[0.0, 994.1607843137248]]}","{type=[[0.0, 923.474509803921], [1.0, 70.68627450980392]]}","{type=[[0.0, 923.474509803921], [1.0, 70.68627450980392]]}","{type=[[0.0, 923.474509803921], [1.0, 70.68627450980392]]}",524209900,"{type=[[0.0, 994.1607843137248]]}","{type=[[0.0, 994.1607843137248]]}","{type=[[0.0, 994.1607843137248]]}",
00000000000000000148,"{type=[[0.0, 1024.301960784314]]}","{type=[[0.0, 1020.5529411764707], [1.0, 3.7490196078431373]]}","{type=[[0.0, 1020.5529411764707], [1.0, 3.7490196078431373]]}","{type=[[0.0, 409.62745098039215], [1.0, 614.6745098039214]]}","{type=[[0.0, 409.62745098039215], [1.0, 614.6745098039214]]}","{type=[[0.0, 413.3764705882353], [1.0, 610.9254901960783]]}",525942315,"{type=[[0.0, 1024.301960784314]]}","{type=[[0.0, 1024.301960784314]]}","{type=[[0.0, 1024.301960784314]]}",
00000000000000000149,"{type=[[0.0, 1020.7058823529416]]}","{type=[[0.0, 1020.7058823529416]]}","{type=[[0.0, 1020.7058823529416]]}","{type=[[0.0, 373.2392156862745], [1.0, 647.4666666666668]]}","{type=[[0.0, 373.2392156862745], [1.0, 647.4666666666668]]}","{type=[[0.0, 373.2392156862745], [1.0, 647.4666666666668]]}",525778269,"{type=[[0.0, 1020.7058823529416]]}","{type=[[0.0, 1020.7058823529416]]}","{type=[[0.0, 1020.7058823529416]]}",
0000000000000000014a,"{type=[[0.0, 995.8549019607842], [1.0, 2.0]]}","{type=[[0.0, 995.8549019607842], [1.0, 2.0]]}","{type=[[0.0, 997.8549019607842]]}","{type=[[0.0, 242.0], [1.0, 755.8549019607843]]}","{type=[[0.0, 244.0], [1.0, 753.8549019607843]]}","{type=[[0.0, 244.0], [1.0, 753.8549019607843]]}",524859769,"{type=[[0.0, 997.8549019607842]]}","{type=[[0.0, 997.8549019607842]]}","{type=[[0.0, 997.8549019607842]]}",
0000000000000000014b,"{type=[[0.0, 1006.686274509804]]}","{type=[[0.0, 1006.686274509804]]}","{type=[[0.0, 1006.686274509804]]}","{type=[[0.0, 725.1098039215688], [1.0, 281.57647058823517]]}","{type=[[0.0, 725.1098039215688], [1.0, 281.57647058823517]]}","{type=[[0.0, 725.1098039215688], [1.0, 281.57647058823517]]}",524905683,"{type=[[0.0, 1006.686274509804]]}","{type=[[0.0, 1006.686274509804]]}","{type=[[0.0, 1006.686274509804]]}",
0000000000000000014c,"{type=[[0.0, 990.7607843137257], [1.0, 1.3215686274509804]]}","{type=[[0.0, 990.7607843137257], [1.0, 1.3215686274509804]]}","{type=[[0.0, 992.0823529411766]]}","{type=[[0.0, 249.98039215686273], [1.0, 742.1019607843136]]}","{type=[[0.0, 251.30196078431374], [1.0, 740.7803921568627]]}","{type=[[0.0, 251.30196078431374], [1.0, 740.7803921568627]]}",524466037,"{type=[[0.0, 992.0823529411766]]}","{type=[[0.0, 992.0823529411766]]}","{type=[[0.0, 992.0823529411766]]}",
0000000000000000014d,"{type=[[0.0, 947.1176470588233]]}","{type=[[0.0, 947.1176470588233]]}","{type=[[0.0, 999.8509803921568]]}","{type=[[0.0, 917.1176470588233], [1.0, 30.0]]}","{type=[[0.0, 964.8509803921568], [1.0, 35.0]]}","{type=[[0.0, 964.8509803921568], [1.0, 35.0]]}",524590732,"{type=[[0.0, 947.1176470588233]]}","{type=[[0.0, 947.1176470588233]]}","{type=[[0.0, 999.8509803921568]]}",
0000000000000000014e,"{type=[[0.0, 992.0941176470586], [1.0, 4.0]]}","{type=[[0.0, 980.0941176470587], [1.0, 16.0]]}","{type=[[0.0, 984.0941176470586], [1.0, 12.0]]}","{type=[[0.0, 107.61176470588236], [1.0, 888.4823529411767]]}","{type=[[0.0, 111.61176470588236], [1.0, 884.4823529411766]]}","{type=[[0.0, 123.61176470588236], [1.0, 872.4823529411766]]}",524452936,"{type=[[0.0, 996.0941176470586]]}","{type=[[0.0, 996.0941176470586]]}","{type=[[0.0, 996.0941176470586]]}",
0000000000000000014f,"{type=[[0.0, 990.0901960784312]]}","{type=[[0.0, 990.0901960784312]]}","{type=[[0.0, 990.0901960784312]]}","{type=[[0.0, 421.65098039215695], [1.0, 568.4392156862745]]}","{type=[[0.0, 421.65098039215695], [1.0, 568.4392156862745]]}","{type=[[0.0, 421.65098039215695], [1.0, 568.4392156862745]]}",524000236,"{type=[[0.0, 990.0901960784312]]}","{type=[[0.0, 990.0901960784312]]}","{type=[[0.0, 990.0901960784312]]}",
00000000000000000150,"{type=[[0.0, 988.737254901961]]}","{type=[[0.0, 987.7372549019607], [1.0, 1.0]]}","{type=[[0.0, 987.7372549019607], [1.0, 1.0]]}","{type=[[0.0, 496.25098039215686], [1.0, 492.486274509804]]}","{type=[[0.0, 496.25098039215686], [1.0, 492.486274509804]]}","{type=[[0.0, 497.25098039215686], [1.0, 491.486274509804]]}",524256077,"{type=[[0.0, 988.737254901961]]}","{type=[[0.0, 988.737254901961]]}","{type=[[0.0, 988.737254901961]]}",
00000000000000000151,"{type=[[0.0, 986.2274509803923]]}","{type=[[0.0, 986.2274509803923]]}","{type=[[0.0, 986.2274509803923]]}","{type=[[0.0, 461.2470588235293], [1.0, 524.9803921568626]]}","{type=[[0.0, 461.2470588235293], [1.0, 524.9803921568626]]}","{type=[[0.0, 461.2470588235293], [1.0, 524.9803921568626]]}",523737754,"{type=[[0.0, 986.2274509803923]]}","{type=[[0.0, 986.2274509803923]]}","{type=[[0.0, 986.2274509803923]]}",
00000000000000000152,"{type=[[0.0, 1002.4392156862747]]}","{type=[[0.0, 1002.4392156862747]]}","{type=[[0.0, 1002.4392156862747]]}","{type=[[0.0, 694.8274509803922], [1.0, 307.61176470588236]]}","{type=[[0.0, 694.8274509803922], [1.0, 307.61176470588236]]}","{type=[[0.0, 694.8274509803922], [1.0, 307.61176470588236]]}",524689096,"{type=[[0.0, 1002.4392156862747]]}","{type=[[0.0, 1002.4392156862747]]}","{type=[[0.0, 1002.4392156862747]]}",
00000000000000000153,"{type=[[0.0, 1017.5686274509803]]}","{type=[[0.0, 1017.5686274509803]]}","{type=[[0.0, 1017.5686274509803]]}","{type=[[0.0, 287.63921568627455], [1.0, 729.9294117647058]]}","{type=[[0.0, 287.63921568627455], [1.0, 729.9294117647058]]}","{type=[[0.0, 287.63921568627455], [1.0, 729.9294117647058]]}",525706086,"{type=[[0.0, 1017.5686274509803]]}","{type=[[0.0, 1017.5686274509803]]}","{type=[[0.0, 1017.5686274509803]]}",
00000000000000000154,"{type=[[0.0, 1013.0980392156864], [1.0, 6.0]]}","{type=[[0.0, 1013.0980392156864], [1.0, 6.0]]}","{type=[[0.0, 1019.0980392156864]]}","{type=[[0.0, 209.61960784313726], [1.0, 809.478431372549]]}","{type=[[0.0, 215.61960784313726], [1.0, 803.478431372549]]}","{type=[[0.0, 215.61960784313726], [1.0, 803.478431372549]]}",525692956,"{type=[[0.0, 1019.0980392156864]]}","{type=[[0.0, 1019.0980392156864]]}","{type=[[0.0, 1019.0980392156864]]}",
00000000000000000155,"{type=[[0.0, 1019.8392156862745]]}","{type=[[0.0, 1019.8392156862745]]}","{type=[[0.0, 1019.8392156862745]]}","{type=[[0.0, 832.6784313725491], [1.0, 187.1607843137255]]}","{type=[[0.0, 832.6784313725491], [1.0, 187.1607843137255]]}","{type=[[0.0, 832.6784313725491], [1.0, 187.1607843137255]]}",525876661,"{type=[[0.0, 1019.8392156862745]]}","{type=[[0.0, 1019.8392156862745]]}","{type=[[0.0, 1019.8392156862745]]}",
0000000000000000019a,"{type=[[0.0, 813.9764705882352]]}","{type=[[0.0, 813.9764705882352]]}","{type=[[0.0, 983.9764705882353]]}","{type=[[0.0, 128.82352941176472], [1.0, 685.1529411764703]]}","{type=[[0.0, 142.82352941176475], [1.0, 841.1529411764704]]}","{type=[[0.0, 142.82352941176475], [1.0, 841.1529411764704]]}",523967457,"{type=[[0.0, 813.9764705882352]]}","{type=[[0.0, 813.9764705882352]]}","{type=[[0.0, 983.9764705882353]]}",
0000000000000000019b,"{type=[[0.0, 980.478431372549]]}","{type=[[0.0, 980.478431372549]]}","{type=[[0.0, 980.478431372549]]}","{type=[[0.0, 112.94117647058825], [1.0, 867.5372549019608]]}","{type=[[0.0, 112.94117647058825], [1.0, 867.5372549019608]]}","{type=[[0.0, 112.94117647058825], [1.0, 867.5372549019608]]}",523816584,"{type=[[0.0, 980.478431372549]]}","{type=[[0.0, 980.478431372549]]}","{type=[[0.0, 980.478431372549]]}",
0000000000000000019c,"{type=[[0.0, 950.2627450980389], [1.0, 30.67058823529412]]}","{type=[[0.0, 950.2627450980389], [1.0, 30.67058823529412]]}","{type=[[0.0, 980.9333333333328]]}","{type=[[0.0, 79.34901960784313], [1.0, 901.5843137254898]]}","{type=[[0.0, 110.01960784313725], [1.0, 870.9137254901958]]}","{type=[[0.0, 110.01960784313725], [1.0, 870.9137254901958]]}",523816586,"{type=[[0.0, 980.9333333333328]]}","{type=[[0.0, 980.9333333333328]]}","{type=[[0.0, 980.9333333333328]]}",
0000000000000000019d,"{type=[[0.0, 984.6745098039219]]}","{type=[[0.0, 977.6745098039219], [1.0, 7.0]]}","{type=[[0.0, 977.6745098039219], [1.0, 7.0]]}","{type=[[0.0, 54.69019607843137], [1.0, 929.9843137254906]]}","{type=[[0.0, 54.69019607843137], [1.0, 929.9843137254906]]}","{type=[[0.0, 61.69019607843137], [1.0, 922.9843137254906]]}",524006859,"{type=[[0.0, 984.6745098039219]]}","{type=[[0.0, 984.6745098039219]]}","{type=[[0.0, 984.6745098039219]]}",
0000000000000000003b,"{type=[[0.0, 1000.0627450980394]]}","{type=[[0.0, 1000.0627450980394]]}","{type=[[0.0, 1000.0627450980394]]}","{type=[[0.0, 134.78039215686277], [1.0, 865.2823529411764]]}","{type=[[0.0, 134.78039215686277], [1.0, 865.2823529411764]]}","{type=[[0.0, 134.78039215686277], [1.0, 865.2823529411764]]}",524551303,"{type=[[0.0, 1000.0627450980394]]}","{type=[[0.0, 1000.0627450980394]]}","{type=[[0.0, 1000.0627450980394]]}",
0000000000000000003c,"{type=[[0.0, 979.6862745098043]]}","{type=[[0.0, 979.6862745098043]]}","{type=[[0.0, 1008.180392156863]]}","{type=[[0.0, 402.1803921568627], [1.0, 577.5058823529411]]}","{type=[[0.0, 402.1803921568627], [1.0, 606.0]]}","{type=[[0.0, 402.1803921568627], [1.0, 606.0]]}",524951508,"{type=[[0.0, 979.6862745098043]]}","{type=[[0.0, 979.6862745098043]]}","{type=[[0.0, 1008.180392156863]]}",
