system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
0000000000000000010e,"{type=[[0.0, 1054.047058823529]]}","{type=[[0.0, 1002.3568627450982], [1.0, 51.690196078431384]]}","{type=[[0.0, 1002.3568627450982], [1.0, 51.690196078431384]]}","{type=[[0.0, 96.56470588235294], [1.0, 957.4823529411765]]}","{type=[[0.0, 96.56470588235294], [1.0, 957.4823529411765]]}","{type=[[0.0, 148.25490196078428], [1.0, 905.7921568627451]]}",527241381,"{type=[[0.0, 1054.047058823529]]}","{type=[[0.0, 1054.047058823529]]}","{type=[[0.0, 1054.047058823529]]}",
0000000000000000010f,"{type=[[0.0, 1052.1764705882347]]}","{type=[[0.0, 1050.305882352941], [1.0, 1.8705882352941177]]}","{type=[[0.0, 1050.305882352941], [1.0, 1.8705882352941177]]}","{type=[[0.0, 340.8823529411765], [1.0, 711.2941176470587]]}","{type=[[0.0, 340.8823529411765], [1.0, 711.2941176470587]]}","{type=[[0.0, 342.75294117647064], [1.0, 709.4235294117645]]}",527182343,"{type=[[0.0, 1052.1764705882347]]}","{type=[[0.0, 1052.1764705882347]]}","{type=[[0.0, 1052.1764705882347]]}",
00000000000000000110,"{type=[[0.0, 1044.7764705882353], [1.0, 6.301960784313725]]}","{type=[[0.0, 1038.7764705882355], [1.0, 12.301960784313726]]}","{type=[[0.0, 1045.0784313725492], [1.0, 6.0]]}","{type=[[0.0, 106.1607843137255], [1.0, 944.9176470588234]]}","{type=[[0.0, 112.46274509803922], [1.0, 938.6156862745096]]}","{type=[[0.0, 118.46274509803922], [1.0, 932.6156862745096]]}",527169220,"{type=[[0.0, 1051.0784313725492]]}","{type=[[0.0, 1051.0784313725492]]}","{type=[[0.0, 1051.0784313725492]]}",
00000000000000000111,"{type=[[0.0, 1061.164705882353]]}","{type=[[0.0, 1053.086274509804], [1.0, 8.07843137254902]]}","{type=[[0.0, 1053.086274509804], [1.0, 8.07843137254902]]}","{type=[[0.0, 564.0392156862742], [1.0, 497.1254901960786]]}","{type=[[0.0, 564.0392156862742], [1.0, 497.1254901960786]]}","{type=[[0.0, 572.1176470588232], [1.0, 489.0470588235296]]}",527635080,"{type=[[0.0, 1061.164705882353]]}","{type=[[0.0, 1061.164705882353]]}","{type=[[0.0, 1061.164705882353]]}",
00000000000000000112,"{type=[[0.0, 1025.7490196078436], [1.0, 28.678431372549017]]}","{type=[[0.0, 973.592156862745], [1.0, 80.83529411764707]]}","{type=[[0.0, 1002.2705882352941], [1.0, 52.15686274509804]]}","{type=[[0.0, 160.7058823529412], [1.0, 893.7215686274511]]}","{type=[[0.0, 184.3843137254902], [1.0, 870.043137254902]]}","{type=[[0.0, 234.5411764705882], [1.0, 819.886274509804]]}",527274201,"{type=[[0.0, 1049.427450980392], [1.0, 5.0]]}","{type=[[0.0, 1047.427450980392], [1.0, 7.0]]}","{type=[[0.0, 1052.4274509803922], [1.0, 2.0]]}",
00000000000000000113,"{type=[[0.0, 1057.239215686274]]}","{type=[[0.0, 1057.239215686274]]}","{type=[[0.0, 1057.239215686274]]}","{type=[[0.0, 22.976470588235294], [1.0, 1034.2627450980387]]}","{type=[[0.0, 22.976470588235294], [1.0, 1034.2627450980387]]}","{type=[[0.0, 22.976470588235294], [1.0, 1034.2627450980387]]}",527503831,"{type=[[0.0, 1057.239215686274]]}","{type=[[0.0, 1057.239215686274]]}","{type=[[0.0, 1057.239215686274]]}",
00000000000000000114,"{type=[[0.0, 1066.7725490196076]]}","{type=[[0.0, 1066.7725490196076]]}","{type=[[0.0, 1066.7725490196076]]}","{type=[[0.0, 817.1098039215688], [1.0, 249.6627450980392]]}","{type=[[0.0, 817.1098039215688], [1.0, 249.6627450980392]]}","{type=[[0.0, 817.1098039215688], [1.0, 249.6627450980392]]}",528297736,"{type=[[0.0, 1066.7725490196076]]}","{type=[[0.0, 1066.7725490196076]]}","{type=[[0.0, 1066.7725490196076]]}",
00000000000000000115,"{type=[[0.0, 1065.9450980392155]]}","{type=[[0.0, 1065.9450980392155]]}","{type=[[0.0, 1065.9450980392155]]}","{type=[[0.0, 558.5843137254903], [1.0, 507.36078431372556]]}","{type=[[0.0, 558.5843137254903], [1.0, 507.36078431372556]]}","{type=[[0.0, 558.5843137254903], [1.0, 507.36078431372556]]}",528264923,"{type=[[0.0, 1065.9450980392155]]}","{type=[[0.0, 1065.9450980392155]]}","{type=[[0.0, 1065.9450980392155]]}",
00000000000000000116,"{type=[[0.0, 1071.2235294117643]]}","{type=[[0.0, 1071.2235294117643]]}","{type=[[0.0, 1071.2235294117643]]}","{type=[[0.0, 899.6509803921567], [1.0, 171.57254901960783]]}","{type=[[0.0, 899.6509803921567], [1.0, 171.57254901960783]]}","{type=[[0.0, 899.6509803921567], [1.0, 171.57254901960783]]}",528100887,"{type=[[0.0, 1071.2235294117643]]}","{type=[[0.0, 1071.2235294117643]]}","{type=[[0.0, 1071.2235294117643]]}",
00000000000000000117,"{type=[[0.0, 1082.3882352941173]]}","{type=[[0.0, 1082.3882352941173]]}","{type=[[0.0, 1082.3882352941173]]}","{type=[[0.0, 308.172549019608], [1.0, 774.21568627451]]}","{type=[[0.0, 308.172549019608], [1.0, 774.21568627451]]}","{type=[[0.0, 308.172549019608], [1.0, 774.21568627451]]}",529249069,"{type=[[0.0, 1082.3882352941173]]}","{type=[[0.0, 1082.3882352941173]]}","{type=[[0.0, 1082.3882352941173]]}",
