system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
00000000000000000204,"{type=[[0.0, 899.4039215686275]]}","{type=[[0.0, 899.4039215686275]]}","{type=[[0.0, 899.4039215686275]]}","{type=[[1.0, 899.4039215686275]]}","{type=[[1.0, 899.4039215686275]]}","{type=[[1.0, 899.4039215686275]]}",518626617,"{type=[[0.0, 899.4039215686275]]}","{type=[[0.0, 899.4039215686275]]}","{type=[[0.0, 899.4039215686275]]}",
00000000000000000205,"{type=[[0.0, 902.2235294117642]]}","{type=[[0.0, 902.2235294117642]]}","{type=[[0.0, 902.2235294117642]]}","{type=[[0.0, 30.788235294117648], [1.0, 871.4352941176465]]}","{type=[[0.0, 30.788235294117648], [1.0, 871.4352941176465]]}","{type=[[0.0, 30.788235294117648], [1.0, 871.4352941176465]]}",518646299,"{type=[[0.0, 902.2235294117642]]}","{type=[[0.0, 902.2235294117642]]}","{type=[[0.0, 902.2235294117642]]}",
00000000000000000206,"{type=[[0.0, 907.0078431372551]]}","{type=[[0.0, 907.0078431372551]]}","{type=[[0.0, 907.0078431372551]]}","{type=[[1.0, 907.0078431372551]]}","{type=[[1.0, 907.0078431372551]]}","{type=[[1.0, 907.0078431372551]]}",519000641,"{type=[[0.0, 907.0078431372551]]}","{type=[[0.0, 907.0078431372551]]}","{type=[[0.0, 907.0078431372551]]}",
00000000000000000207,"{type=[[0.0, 906.4078431372552]]}","{type=[[0.0, 906.4078431372552]]}","{type=[[0.0, 906.4078431372552]]}","{type=[[1.0, 906.4078431372552]]}","{type=[[1.0, 906.4078431372552]]}","{type=[[1.0, 906.4078431372552]]}",519033440,"{type=[[0.0, 906.4078431372552]]}","{type=[[0.0, 906.4078431372552]]}","{type=[[0.0, 906.4078431372552]]}",
00000000000000000208,"{type=[[0.0, 907.8627450980393]]}","{type=[[0.0, 904.21568627451], [1.0, 3.6470588235294117]]}","{type=[[0.0, 904.21568627451], [1.0, 3.6470588235294117]]}","{type=[[1.0, 907.8627450980393]]}","{type=[[1.0, 907.8627450980393]]}","{type=[[0.0, 3.6470588235294117], [1.0, 904.21568627451]]}",519072806,"{type=[[0.0, 907.8627450980393]]}","{type=[[0.0, 907.8627450980393]]}","{type=[[0.0, 907.8627450980393]]}",
00000000000000000209,"{type=[[0.0, 906.8627450980391]]}","{type=[[0.0, 906.8627450980391]]}","{type=[[0.0, 906.8627450980391]]}","{type=[[0.0, 4.247058823529412], [1.0, 902.6156862745096]]}","{type=[[0.0, 4.247058823529412], [1.0, 902.6156862745096]]}","{type=[[0.0, 4.247058823529412], [1.0, 902.6156862745096]]}",519059685,"{type=[[0.0, 906.8627450980391]]}","{type=[[0.0, 906.8627450980391]]}","{type=[[0.0, 906.8627450980391]]}",
0000000000000000020a,"{type=[[0.0, 902.5764705882353]]}","{type=[[0.0, 902.5764705882353]]}","{type=[[0.0, 902.5764705882353]]}","{type=[[0.0, 811.8901960784314], [1.0, 90.68627450980394]]}","{type=[[0.0, 811.8901960784314], [1.0, 90.68627450980394]]}","{type=[[0.0, 811.8901960784314], [1.0, 90.68627450980394]]}",518659482,"{type=[[0.0, 902.5764705882353]]}","{type=[[0.0, 902.5764705882353]]}","{type=[[0.0, 902.5764705882353]]}",
0000000000000000020b,"{type=[[0.0, 898.0431372549021]]}","{type=[[0.0, 898.0431372549021]]}","{type=[[0.0, 898.0431372549021]]}","{type=[[1.0, 898.0431372549021]]}","{type=[[1.0, 898.0431372549021]]}","{type=[[1.0, 898.0431372549021]]}",518587312,"{type=[[0.0, 898.0431372549021]]}","{type=[[0.0, 898.0431372549021]]}","{type=[[0.0, 898.0431372549021]]}",
0000000000000000020c,"{type=[[0.0, 891.6862745098039]]}","{type=[[0.0, 891.6862745098039]]}","{type=[[0.0, 891.6862745098039]]}","{type=[[0.0, 63.639215686274525], [1.0, 828.0470588235295]]}","{type=[[0.0, 63.639215686274525], [1.0, 828.0470588235295]]}","{type=[[0.0, 63.639215686274525], [1.0, 828.0470588235295]]}",518200182,"{type=[[0.0, 891.6862745098039]]}","{type=[[0.0, 891.6862745098039]]}","{type=[[0.0, 891.6862745098039]]}",
0000000000000000020d,"{type=[[0.0, 886.3803921568629]]}","{type=[[0.0, 886.3803921568629]]}","{type=[[0.0, 886.3803921568629]]}","{type=[[0.0, 27.545098039215688], [1.0, 858.8352941176471]]}","{type=[[0.0, 27.545098039215688], [1.0, 858.8352941176471]]}","{type=[[0.0, 27.545098039215688], [1.0, 858.8352941176471]]}",518088655,"{type=[[0.0, 886.3803921568629]]}","{type=[[0.0, 886.3803921568629]]}","{type=[[0.0, 886.3803921568629]]}",
